Temperatura,Umidade
25,40
25,40
25,40
25,53
25,41
25,40
25,41
25,41
25,41
25,41
26,41
26,41
26,42
26,42
26,43
26,43
26,43
26,43
26,43
26,43
26,43
26,43
26,44
26,44
26,44
26,44
26,44
26,44
27,43
27,43
27,43
27,43
27,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
28,43
27,43
27,43
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,45
28,45
28,45
28,45
28,45
28,45
28,45
28,45
28,45
28,45
28,45
28,45
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
28,44
29,44
29,44
29,45
29,46
29,48
30,49
30,50
30,53
30,54
30,55
30,56
30,57
30,57
30,58
30,60
31,60
31,61
31,63
31,63
31,64
31,65
32,67
32,67
32,68
32,69
32,69
32,70
32,70
32,71
32,71
32,72
32,73
33,72
33,72
33,73
33,73
33,75
33,75
33,76
33,76
33,76
33,77
33,78
33,78
33,78
33,80
33,82
33,82
33,82
33,82
